"id","name","slug","type","category","power","accuracy","pp","priority","target","description"
234,"Morning Sun","morning-sun","normal","status",0,101,8,0,"user","Restores 1/2 of the user's max HP. In harsh sunlight 2/3 of its max HP will be restored instead. In all other weather conditions 1/4 of its max HP will be restored instead."
242,"Crunch","crunch","dark","physical",80,100,16,0,"selected-pokemon","Has a 20% chance of lowering the target's Defense stat by 1 stage."
245,"Extreme Speed","extreme-speed","normal","physical",80,100,8,2,"selected-pokemon","The user charges the target at blinding speed. This attack always goes before any other move."
262,"Memento","memento","dark","status",0,100,12,0,"selected-pokemon","Lowers the target's Attack and Sp. Atk stats by 2 stages. The user faints upon using this move."
304,"Hyper Voice","hyper-voice","normal","special",90,100,12,0,"all-opponents","The user lets loose a horribly echoing shout with the power to inflict damage."
328,"Sand Tomb","sand-tomb","ground","physical",35,85,16,0,"selected-pokemon","Gives the target the Bound status."
334,"Iron Defense","iron-defense","steel","status",0,101,16,0,"user","Boosts the user's Defense stat by 2 stages."
347,"Calm Mind","calm-mind","psychic","status",0,101,20,0,"user","Boosts the user's Sp. Atk and Sp. Def stats by 1 stage."
349,"Dragon Dance","dragon-dance","dragon","status",0,101,20,0,"user","Boosts the user's Attack and Speed stats by 1 stage."
394,"Flare Blitz","flare-blitz","fire","physical",120,100,16,0,"selected-pokemon","Has a 10% chance of burning the target. Cures the user of being frozen. The user also takes 1/3 of the damage dealt by this move."
397,"Coil","coil","poison","status",0,101,20,0,"user","Boosts the user's Attack and Defense stats as well as its accuracy by 1 stage."
444,"Stone Edge","stone-edge","rock","physical",100,80,8,0,"selected-pokemon","This move has a 1-stage Critical-Hit Ratio Boost."
484,"Heavy Slam","heavy-slam","steel","physical",1,100,12,0,"selected-pokemon","The more the user outweighs the target the greater this move's power (ranging between 40 and 120). If the target has the Minimized status this move's power is doubled and it will be sure to hit."
489,"Glare","glare","normal","status",0,100,20,0,"selected-pokemon","Paralyzes the target."
525,"Fire Blast","fire-blast","fire","special",110,85,8,0,"selected-pokemon","Has a 10% chance of burning the target."
542,"Hurricane","hurricane","flying","special",110,70,12,0,"selected-pokemon","Has a 30% chance of confusing the target. This move never misses in rain and can hit a target that has the Sky-High status."
568,"Stomping Tantrum","stomping-tantrum","ground","physical",75,100,10,0,"selected-pokemon","Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
574,"Thousand Arrows","thousand-arrows","ground","physical",90,100,10,0,"all-opponents","This move hits Flying-type Pokemon and Pokemon in the air."
585,"Moonblast","moonblast","fairy","special",95,100,16,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Atk stat by 1 stage."
595,"Mystical Fire","mystical-fire","fire","special",75,100,12,0,"selected-pokemon","Lowers the target's Sp. Atk stat by 1 stage."
776,"Body Press","body-press","fighting","physical",80,100,12,0,"selected-pokemon","The damage dealt by this move is calculated using the user's Defense stat instead of its Attack stat."
812,"Scale Shot","scale-shot","dragon","physical",25,90,20,0,"selected-pokemon","The user attacks 2 to 5 times in a row. This move lowers the user's Defense stat by 1 stage and boosts its Speed stat by 1 stage."
813,"Draco Meteor","draco-meteor","dragon","special",130,90,8,0,"selected-pokemon","Lowers the user's Sp. Atk stat by 2 stages."
814,"Heat Wave","heat-wave","fire","special",95,90,12,0,"all-opponents","Has a 10% chance of burning targets."
815,"Play Rough","play-rough","fairy","physical",90,90,12,0,"selected-pokemon","Has a 10% chance of lowering the target's Attack stat by 1 stage."
816,"Bulldoze","bulldoze","ground","physical",60,100,20,0,"all-adjacent","Lowers targets' Speed stats by 1 stage. When Grassy Terrain is active this move's power is halved."
817,"Accelerock","accelerock","rock","physical",40,100,20,1,"selected-pokemon",""
818,"Acid Armor","acid-armor","poison","status",0,"",20,0,"selected-pokemon","Boosts the user's Defense stat by 2 stages."
819,"Acid Spray","acid-spray","poison","special",40,100,20,0,"selected-pokemon","Lowers the target's Sp. Def stat by 2 stages."
820,"Acrobatics","acrobatics","flying","physical",55,100,16,0,"selected-pokemon","This move's power is doubled if the user isn't holding an item."
821,"Acupressure","acupressure","normal","status",0,"",20,0,"selected-pokemon","Boosts the Attack Defense Sp. Atk Sp. Def Speed accuracy or evasiveness of the user or an ally by 2 stages."
822,"Aerial Ace","aerial-ace","flying","physical",60,"",20,0,"selected-pokemon","This move never misses."
823,"After You","after-you","normal","status",0,"",16,0,"selected-pokemon","Makes the target move immediately after the user."
824,"Agility","agility","psychic","status",0,"",20,0,"selected-pokemon","Boosts the user's Speed stat by 2 stages."
825,"Air Cutter","air-cutter","flying","special",60,95,20,0,"selected-pokemon","This move has a 1-stage Critical-Hit Ratio Boost."
826,"Air Slash","air-slash","flying","special",75,95,16,0,"selected-pokemon","Has a 30% chance of making the target flinch."
827,"Alluring Voice","alluring-voice","fairy","special",80,100,12,0,"selected-pokemon","Confuses the target if its stats were boosted during the turn this move is used."
828,"Ally Switch","ally-switch","psychic","status",0,"",16,2,"selected-pokemon","The user switches spots with one of its allies. With each consecutive use this move's chance of success becomes 1/3 of what it was before."
829,"Amnesia","amnesia","psychic","status",0,"",20,0,"selected-pokemon","Boosts the user's Sp. Def stat by 2 stages."
830,"Ancient Power","ancient-power","rock","special",60,100,8,0,"selected-pokemon","Has a 10% chance of boosting the user's Attack Defense Sp. Atk Sp. Def and Speed stats by 1 stage."
831,"Apple Acid","apple-acid","grass","special",90,100,12,0,"selected-pokemon","Lowers the target's Sp. Def stat by 1 stage."
832,"Aqua Cutter","aqua-cutter","water","physical",70,100,20,0,"selected-pokemon","This move has a 1-stage Critical-Hit Ratio Boost."
833,"Aqua Jet","aqua-jet","water","physical",40,100,20,1,"selected-pokemon",""
834,"Aqua Ring","aqua-ring","water","status",0,"",20,0,"selected-pokemon","The user gains the Aqua Ring status."
835,"Aqua Step","aqua-step","water","physical",80,100,12,0,"selected-pokemon","Boosts the user's Speed stat by 1 stage."
836,"Aqua Tail","aqua-tail","water","physical",90,90,12,0,"selected-pokemon",""
837,"Armor Cannon","armor-cannon","fire","special",120,100,8,0,"selected-pokemon","Lowers the user's Defense and Sp. Def stats by 1 stage."
838,"Aromatic Mist","aromatic-mist","fairy","status",0,"",20,0,"selected-pokemon","Boosts an ally's Sp. Def stat by 1 stage."
839,"Assurance","assurance","dark","physical",60,100,12,0,"selected-pokemon","This move's power is doubled if the target has already taken damage during the turn this move is used."
840,"Attract","attract","normal","status",0,100,16,0,"selected-pokemon","Gives the target the Infatuated status. This move will fail against a target that is the same gender as the user or whose gender is unknown."
841,"Aura Sphere","aura-sphere","fighting","special",80,"",20,0,"selected-pokemon","This move never misses."
842,"Aura Wheel","aura-wheel","electric","physical",110,100,12,0,"selected-pokemon","Boosts the user's Speed stat by 1 stage. This move's type depends on Morpeko's form."
843,"Aurora Veil","aurora-veil","ice","status",0,"",20,0,"selected-pokemon","Gives the user's side the Aurora Veil status for 5 turns. This move can be used only in snow."
844,"Avalanche","avalanche","ice","physical",60,100,12,-4,"selected-pokemon","This move's power is doubled if the target has already dealt damage to the user with a move in the same turn."
845,"Axe Kick","axe-kick","fighting","physical",120,90,12,0,"selected-pokemon","Has a 30% chance of confusing the target. If this move misses or fails the user takes damage equal to 1/2 of its max HP."
846,"Baby-Doll Eyes","baby-doll-eyes","fairy","status",0,100,20,1,"selected-pokemon","Lowers the target's Attack stat by 1 stage."
847,"Baneful Bunker","baneful-bunker","poison","status",0,"",8,4,"selected-pokemon","The user protects itself from incoming moves for the turn. Any attackers that use contact moves against the user during this turn become poisoned. With each consecutive use this move's chance of success becomes 1/3 of what it was before."
848,"Baton Pass","baton-pass","normal","status",0,"",20,0,"selected-pokemon","The user switches out of battle to be replaced by another party Pok&eacute;mon. If the user had any stat changes a substitute or other such effects they will be passed on to the Pok&eacute;mon switching in."
849,"Beak Blast","beak-blast","flying","physical",120,100,8,-3,"selected-pokemon","If the user is hit by a contact move before it uses this move the attacker will be burned."
850,"Beat Up","beat-up","dark","physical",1,100,12,0,"selected-pokemon","The target is attacked as many times as the number of Pok&eacute;mon in the user's party. Pok&eacute;mon that have fainted or have a status condition are not counted. This move's power is calculated based on the Attack stats of the party Pok&eacute;mon."
851,"Belch","belch","poison","special",120,90,12,0,"selected-pokemon","This move fails unless the user has eaten a Berry during the battle."
852,"Belly Drum","belly-drum","normal","status",0,"",12,0,"selected-pokemon","The user loses 1/2 of its max HP to boost its Attack stat to its sixth stage. This move fails if the user doesn't have enough remaining HP."
853,"Bind","bind","normal","physical",15,85,20,0,"selected-pokemon","Gives the target the Bound status."
854,"Bitter Blade","bitter-blade","fire","physical",90,100,12,0,"selected-pokemon","The user's HP is restored by 1/2 of the damage dealt by this move."
855,"Bitter Malice","bitter-malice","ghost","special",75,100,12,0,"selected-pokemon","Lowers the target's Attack stat by 1 stage."
856,"Blast Burn","blast-burn","fire","special",150,90,8,0,"selected-pokemon","The user gains the Recharging status on the turn after this move is used."
857,"Blaze Kick","blaze-kick","fire","physical",85,90,12,0,"selected-pokemon","Has a 10% chance of burning the target. This move has a 1-stage Critical-Hit Ratio Boost."
858,"Blizzard","blizzard","ice","special",110,70,8,0,"selected-pokemon","Has a 10% chance of freezing targets. This move never misses in snow."
859,"Block","block","normal","status",0,"",8,0,"selected-pokemon","Gives the target the Can't Escape status."
860,"Bone Rush","bone-rush","ground","physical",30,90,12,0,"selected-pokemon","The user attacks 2 to 5 times in a row."
861,"Boomburst","boomburst","normal","special",140,100,12,0,"selected-pokemon",""
862,"Bounce","bounce","flying","physical",85,85,8,0,"selected-pokemon","The user gains the Sky-High status on the turn this move is used then attacks on the following turn. This move has a 30% chance of paralyzing the target."
863,"Brave Bird","brave-bird","flying","physical",120,100,16,0,"selected-pokemon","The user takes 1/3 of the damage dealt by this move."
864,"Breaking Swipe","breaking-swipe","dragon","physical",60,100,16,0,"selected-pokemon","Lowers targets' Attack stats by 1 stage."
865,"Brick Break","brick-break","fighting","physical",75,100,16,0,"selected-pokemon","Removes the Light Screen Reflect and Aurora Veil statuses on the target's side."
866,"Brutal Swing","brutal-swing","dark","physical",60,100,20,0,"selected-pokemon",""
867,"Bug Bite","bug-bite","bug","physical",60,100,20,0,"selected-pokemon","If the target is holding a Berry the user eats that Berry and gains its effect."
868,"Bug Buzz","bug-buzz","bug","special",90,100,12,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Def stat by 1 stage."
869,"Bulk Up","bulk-up","fighting","status",0,"",20,0,"selected-pokemon","Boosts the user's Attack and Defense stats by 1 stage."
870,"Bullet Punch","bullet-punch","steel","physical",40,100,20,1,"selected-pokemon",""
871,"Bullet Seed","bullet-seed","grass","physical",25,100,20,0,"selected-pokemon","The user attacks 2 to 5 times in a row."
872,"Burning Jealousy","burning-jealousy","fire","special",70,100,8,0,"selected-pokemon","Burns targets if their stats were boosted during the turn this move is used."
873,"Burn Up","burn-up","fire","special",130,100,8,0,"selected-pokemon","The user loses the Fire type. Cures the user of being frozen. This move fails unless it is used by a Fire type."
874,"Ceaseless Edge","ceaseless-edge","dark","physical",65,90,16,0,"selected-pokemon","Gives the opponent's side the Spikes status."
875,"Charge","charge","electric","status",0,"",20,0,"selected-pokemon","Boosts the user's Sp. Def stat by 1 stage. The user gains the Electric Boost status."
876,"Charge Beam","charge-beam","electric","special",50,90,12,0,"selected-pokemon","Has a 70% chance of boosting the user's Sp. Atk stat by 1 stage."
877,"Charm","charm","fairy","status",0,100,20,0,"selected-pokemon","Lowers the target's Attack stat by 2 stages."
878,"Chilling Water","chilling-water","water","special",50,100,20,0,"selected-pokemon","Lowers the target's Attack stat by 1 stage."
879,"Chilly Reception","chilly-reception","ice","status",0,"",12,0,"selected-pokemon","Summons snow for 5 turns. The user switches out of battle to be replaced by another party Pok&eacute;mon."
880,"Circle Throw","circle-throw","fighting","physical",60,90,12,-6,"selected-pokemon","If there are other Pok&eacute;mon in the target's party that can switch into battle the target is forced to switch out of battle and is replaced by one of those Pok&eacute;mon at random."
881,"Clanging Scales","clanging-scales","dragon","special",110,100,8,0,"selected-pokemon","Lowers the user's Defense stat by 1 stage."
882,"Clangorous Soul","clangorous-soul","dragon","status",0,"",8,0,"selected-pokemon","The user loses 1/3 of its max HP to boost its Attack Defense Sp. Atk Sp. Def and Speed stats by 1 stage. This move fails if the user doesn't have enough remaining HP."
883,"Clear Smog","clear-smog","poison","special",50,"",16,0,"selected-pokemon","Removes all stat changes from the target. This move never misses."
884,"Close Combat","close-combat","fighting","physical",120,100,8,0,"selected-pokemon","Lowers the user's Defense and Sp. Def stats by 1 stage."
885,"Coaching","coaching","fighting","status",0,"",12,0,"selected-pokemon","Boosts allies' Attack and Defense stats by 1 stage."
886,"Comeuppance","comeuppance","dark","physical",1,100,12,0,"selected-pokemon","The user retaliates to deal 150% of the damage it took from an opponent's move during the turn this move is used."
887,"Confuse Ray","confuse-ray","ghost","status",0,100,12,0,"selected-pokemon","Confuses the target."
888,"Copycat","copycat","normal","status",0,"",20,0,"selected-pokemon","The user mimics the move that was last used. This move fails if no other move has been used yet."
889,"Corrosive Gas","corrosive-gas","poison","status",0,100,20,0,"selected-pokemon","Causes all other Pok&eacute;mon on the field to lose their held items."
890,"Cosmic Power","cosmic-power","psychic","status",0,"",20,0,"selected-pokemon","Boosts the user's Defense and Sp. Def stats by 1 stage."
891,"Cotton Guard","cotton-guard","grass","status",0,"",12,0,"selected-pokemon","Boosts the user's Defense stat by 3 stages."
892,"Cotton Spore","cotton-spore","grass","status",0,100,20,0,"selected-pokemon","Lowers targets' Speed stats by 2 stages."
893,"Counter","counter","fighting","physical",1,100,20,-5,"selected-pokemon","The user retaliates to deal double the damage it took from an opponent's physical move during the turn this move is used."
894,"Covet","covet","normal","physical",60,100,20,0,"selected-pokemon","If the user is not already holding an item it steals the target's held item."
895,"Crabhammer","crabhammer","water","physical",100,95,12,0,"selected-pokemon","This move has a 1-stage Critical-Hit Ratio Boost."
896,"Cross Chop","cross-chop","fighting","physical",100,80,8,0,"selected-pokemon","This move has a 1-stage Critical-Hit Ratio Boost."
897,"Cross Poison","cross-poison","poison","physical",70,100,20,0,"selected-pokemon","Has a 10% chance of poisoning the target. This move has a 1-stage Critical-Hit Ratio Boost."
898,"Crush Claw","crush-claw","normal","physical",75,95,12,0,"selected-pokemon","Has a 50% chance of lowering the target's Defense stat by 1 stage."
899,"Curse","curse","ghost","status",0,"",12,0,"selected-pokemon","Ghost-type: The user loses 1/2 of its max HP to give the target the Cursed status.Non-Ghost-type: Lowers the user's Speed stat by 1 stage and boosts its Attack and Defense stats by 1 stage."
900,"Darkest Lariat","darkest-lariat","dark","physical",85,100,12,0,"selected-pokemon","This move ignores the target's stat changes when dealing damage."
901,"Dark Pulse","dark-pulse","dark","special",80,100,16,0,"selected-pokemon","Has a 20% chance of making the target flinch."
902,"Dazzling Gleam","dazzling-gleam","fairy","special",80,100,12,0,"selected-pokemon",""
903,"Decorate","decorate","fairy","status",0,"",16,0,"selected-pokemon","Boosts the target's Attack and Sp. Atk stats by 2 stages."
904,"Defog","defog","flying","status",0,"",16,0,"selected-pokemon","Lowers the target's evasiveness by 1 stage. Removes statuses such as Reflect Spikes and Safeguard as well as any terrain."
905,"Destiny Bond","destiny-bond","ghost","status",0,"",8,0,"selected-pokemon","The user gains the Destiny Bound status. This move fails if used in succession."
906,"Detect","detect","fighting","status",0,"",8,4,"selected-pokemon","The user protects itself from incoming moves for the turn. With each consecutive use this move's chance of success becomes 1/3 of what it was before."
907,"Dig","dig","ground","physical",80,100,12,0,"selected-pokemon","The user gains the Underground status on the turn this move is used then attacks on the following turn."
908,"Dire Claw","dire-claw","poison","physical",80,100,16,0,"selected-pokemon","Has a 30% chance of leaving the target poisoned paralyzed or asleep."
909,"Disable","disable","normal","status",0,100,20,0,"selected-pokemon","Gives the target the Move Disabled status for 4 turns."
910,"Discharge","discharge","electric","special",80,100,16,0,"selected-pokemon","Has a 30% chance of paralyzing targets."
911,"Dive","dive","water","physical",80,100,12,0,"selected-pokemon","The user gains the Submerged status on the turn this move is used then attacks on the following turn."
912,"Double-Edge","double-edge","normal","physical",120,100,16,0,"selected-pokemon","The user takes 1/3 of the damage dealt by this move."
913,"Double Hit","double-hit","normal","physical",35,90,12,0,"selected-pokemon","The user attacks twice in a row."
914,"Double Team","double-team","normal","status",0,"",16,0,"selected-pokemon","Boosts the user's evasiveness by 1 stage."
915,"Dragon Cheer","dragon-cheer","dragon","status",0,"",16,0,"selected-pokemon","Gives allies a Critical-Hit Ratio Boost. Dragon types receive a 2-stage boost. All other types receive a 1-stage boost."
916,"Dragon Claw","dragon-claw","dragon","physical",80,100,16,0,"selected-pokemon",""
917,"Dragon Darts","dragon-darts","dragon","physical",50,100,12,0,"selected-pokemon","The user attacks twice in a row. If there are 2 opposing Pok&eacute;mon each of them is attacked once."
918,"Dragon Pulse","dragon-pulse","dragon","special",85,100,12,0,"selected-pokemon",""
919,"Dragon Rush","dragon-rush","dragon","physical",100,75,12,0,"selected-pokemon","Has a 20% chance of making the target flinch. If the target has the Minimized status this move's power is doubled and it will be sure to hit."
920,"Dragon Tail","dragon-tail","dragon","physical",60,90,12,-6,"selected-pokemon","If there are other Pok&eacute;mon in the target's party that can switch into battle the target is forced to switch out of battle and is replaced by one of those Pok&eacute;mon at random."
921,"Draining Kiss","draining-kiss","fairy","special",50,100,12,0,"selected-pokemon","The user's HP is restored by 3/4 of the damage dealt by this move."
922,"Drain Punch","drain-punch","fighting","physical",75,100,12,0,"selected-pokemon","The user's HP is restored by 1/2 of the damage dealt by this move."
923,"Drill Peck","drill-peck","flying","physical",80,100,20,0,"selected-pokemon",""
924,"Drill Run","drill-run","ground","physical",80,95,12,0,"selected-pokemon","This move has a 1-stage Critical-Hit Ratio Boost."
925,"Dual Wingbeat","dual-wingbeat","flying","physical",40,90,12,0,"selected-pokemon","The user attacks twice in a row."
926,"Dynamic Punch","dynamic-punch","fighting","physical",100,50,8,0,"selected-pokemon","Confuses the target."
927,"Earth Power","earth-power","ground","special",90,100,12,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Def stat by 1 stage."
928,"Eerie Impulse","eerie-impulse","electric","status",0,100,16,0,"selected-pokemon","Lowers the target's Sp. Atk stat by 2 stages."
929,"Eerie Spell","eerie-spell","psychic","special",80,100,8,0,"selected-pokemon","Removes 3 PP from the move last used by the target."
930,"Electric Terrain","electric-terrain","electric","status",0,"",12,0,"selected-pokemon","Turns the entire field into Electric Terrain for 5 turns."
931,"Electrify","electrify","electric","status",0,"",20,0,"selected-pokemon","If this move hits the target before it uses a move its move becomes Electric type for that turn."
932,"Electro Ball","electro-ball","electric","special",1,100,12,0,"selected-pokemon","The higher the user's Speed stat compared to the target's the greater this move's power (ranging between 40 and 150)."
933,"Electro Shot","electro-shot","electric","special",130,100,12,0,"selected-pokemon","The user gains the Charging status on the turn this move is used then attacks on the following turn. In rain the user does not gain the Charging status and can attack immediately. The user's Sp. Atk stat is boosted by 1 stage on the turn this move is used."
934,"Electroweb","electroweb","electric","special",55,95,16,0,"selected-pokemon","Lowers targets' Speed stats by 1 stage."
935,"Encore","encore","normal","status",0,100,8,0,"selected-pokemon","Gives the target the Encore status."
936,"Endeavor","endeavor","normal","physical",1,100,8,0,"selected-pokemon","Deals damage to the target equal to its remaining HP minus the user's remaining HP. This move fails if the target's HP is the same as or lower than the user's."
937,"Endure","endure","normal","status",0,"",12,4,"selected-pokemon","During the turn this move is used if the user takes damage from a move that would knock it out it will endure the hit with 1 HP. With each consecutive use this move's chance of success becomes 1/3 of what it was before."
938,"Energy Ball","energy-ball","grass","special",90,100,12,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Def stat by 1 stage."
939,"Entrainment","entrainment","normal","status",0,100,16,0,"selected-pokemon","Changes the target's Ability to be the same as the user's."
940,"Eruption","eruption","fire","special",150,100,8,0,"selected-pokemon","The less HP the user has left the lower this move's power (ranging between 1 and 150)."
941,"Expanding Force","expanding-force","psychic","special",80,100,12,0,"selected-pokemon","If the user is under the effect of Psychic Terrain this move's power is boosted by 50% and its range extends to all opponents."
942,"Explosion","explosion","normal","physical",250,100,8,0,"selected-pokemon","The user faints upon using this move."
943,"Extrasensory","extrasensory","psychic","special",80,100,20,0,"selected-pokemon","Has a 10% chance of making the target flinch."
944,"Facade","facade","normal","physical",70,100,20,0,"selected-pokemon","This move's power is doubled if the user is poisoned badly poisoned burned or paralyzed. Although this move is a physical move the damage it deals is not halved when the user is burned."
945,"Fairy Lock","fairy-lock","fairy","status",0,"",12,0,"selected-pokemon","Gives all Pok&eacute;mon on the field the Fairy Locked status."
946,"Fake Out","fake-out","normal","physical",40,100,12,3,"selected-pokemon","Makes the target flinch. This move fails unless it is the first move used by the user after it enters a battle."
947,"Fake Tears","fake-tears","dark","status",0,100,20,0,"selected-pokemon","Lowers the target's Sp. Def stat by 2 stages."
948,"Feather Dance","feather-dance","flying","status",0,100,16,0,"selected-pokemon","Lowers the target's Attack stat by 2 stages."
949,"Feint","feint","normal","physical",30,100,12,2,"selected-pokemon","This move can hit a target using a move such as Protect or Detect and removes the effects of those moves."
950,"Fell Stinger","fell-stinger","bug","physical",50,100,20,0,"selected-pokemon","Boosts the user's Attack stat by 3 stages if this move knocks out the target."
951,"Fickle Beam","fickle-beam","dragon","special",80,100,8,0,"selected-pokemon","This move has a 30% chance of its power being doubled."
952,"Fiery Dance","fiery-dance","fire","special",80,100,12,0,"selected-pokemon","Has a 50% chance of boosting the user's Sp. Atk stat by 1 stage."
953,"Final Gambit","final-gambit","fighting","special",1,100,8,0,"selected-pokemon","The user faints. This move deals damage to the target equal to the user's remaining HP at the time this move was used."
954,"Fire Fang","fire-fang","fire","physical",65,95,16,0,"selected-pokemon","Has a 10% chance of burning the target and a 10% chance of making the target flinch."
955,"Fire Lash","fire-lash","fire","physical",90,100,16,0,"selected-pokemon","Lowers the target's Defense stat by 1 stage."
956,"Fire Spin","fire-spin","fire","special",35,85,16,0,"selected-pokemon","Gives the target the Bound status."
957,"First Impression","first-impression","bug","physical",100,100,12,2,"selected-pokemon","This move fails unless it is the first move used by the user after it enters a battle."
958,"Fissure","fissure","ground","physical",1,30,8,0,"selected-pokemon","Knocks out the target. The accuracy of this move is fixed at 30%."
959,"Flail","flail","normal","physical",1,100,16,0,"selected-pokemon","The less HP the user has left the greater this move's power (ranging between 20 and 200)."
960,"Flame Charge","flame-charge","fire","physical",50,100,20,0,"selected-pokemon","Boosts the user's Speed stat by 1 stage."
961,"Flash Cannon","flash-cannon","steel","special",80,100,12,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Def stat by 1 stage."
962,"Flatter","flatter","dark","status",0,100,16,0,"selected-pokemon","Boosts the target's Sp. Atk stat by 1 stage and confuses it."
963,"Fling","fling","dark","physical",1,100,12,0,"selected-pokemon","This move's power and effects depend on the user's held item. The held item is lost after this move is used."
964,"Flip Turn","flip-turn","water","physical",60,100,20,0,"selected-pokemon","After attacking the user switches out of battle to be replaced by another party Pok&eacute;mon."
965,"Flower Trick","flower-trick","grass","physical",70,"",12,0,"selected-pokemon","This move never misses and is always a critical hit."
966,"Fly","fly","flying","physical",90,95,16,0,"selected-pokemon","The user gains the Sky-High status on the turn this move is used then attacks on the following turn."
967,"Flying Press","flying-press","fighting","physical",100,95,12,0,"selected-pokemon","The damage dealt by this move is calculated by combining the effectiveness of the move's own type with that of the Flying type. If the target has the Minimized status this move's power is doubled and it will be sure to hit."
968,"Focus Blast","focus-blast","fighting","special",120,70,8,0,"selected-pokemon","Has a 10% chance of lowering the target's Sp. Def stat by 1 stage."
969,"Focus Energy","focus-energy","normal","status",0,"",20,0,"selected-pokemon","The user gains a 2-stage Critical-Hit Ratio Boost."
970,"Focus Punch","focus-punch","fighting","physical",150,100,20,-3,"selected-pokemon","This move fails if the user has already taken damage from a move in the same turn."
971,"Follow Me","follow-me","normal","status",0,"",20,2,"selected-pokemon","The user redirects opponents' moves toward itself. This effect works only on single-target moves."
972,"Foul Play","foul-play","dark","physical",95,100,16,0,"selected-pokemon","The damage dealt by this move is calculated using the target's Attack stat instead of the user's Attack stat."
973,"Freeze-Dry","freeze-dry","ice","special",70,100,20,0,"selected-pokemon","This move is also super effective against Water-type Pok&eacute;mon."
974,"Frenzy Plant","frenzy-plant","grass","special",150,90,8,0,"selected-pokemon","The user gains the Recharging status on the turn after this move is used."
975,"Frost Breath","frost-breath","ice","special",60,90,12,0,"selected-pokemon","Always a critical hit."
976,"Future Sight","future-sight","psychic","special",120,100,12,0,"selected-pokemon","Gives the target's spot the Future Attack status."
977,"Gastro Acid","gastro-acid","poison","status",0,100,12,0,"selected-pokemon","Gives the target the No Ability status."
978,"Giga Impact","giga-impact","normal","physical",150,90,8,0,"selected-pokemon","The user gains the Recharging status on the turn after this move is used."
979,"Gigaton Hammer","gigaton-hammer","steel","physical",160,100,8,0,"selected-pokemon","This move can't be used twice in a row."
980,"Grass Knot","grass-knot","grass","special",1,100,20,0,"selected-pokemon","The heavier the target the greater this move's power (ranging between 20 and 120)."
981,"Grassy Glide","grassy-glide","grass","physical",55,100,20,0,"selected-pokemon","If the user is under the effect of Grassy Terrain this move's priority becomes +1."
982,"Grassy Terrain","grassy-terrain","grass","status",0,"",12,0,"selected-pokemon","Turns the entire field into Grassy Terrain for 5 turns."
983,"Grav Apple","grav-apple","grass","physical",90,100,12,0,"selected-pokemon","Lowers the target's Defense stat by 1 stage. This move's power is boosted by 50% when the Gravity status is active."
